Name,Weight Division,Age Division,Belt Level,Gender,Placement,Gi or No Gi,School,Tournament
Mateus Rodrigues de Souza,Medium Heavy,Adult,Blue,M,1st,Gi,Atos Jiu Jitsu,IBJJF Worlds
Tainan Dalpra Costa,Middle,Adult,Blue,M,2nd,Gi,Atos Jiu Jitsu,IBJJF Worlds
Gabriel Kutianski Gonzalez Vieira,Ultra-Heavy,Adult,Blue,M,3rd,Gi,Gracie Barra,IBJJF Worlds
Lucas Andre Galvao Protasio,Light,Adult,Blue,M,3rd,Gi,ZR Team Association,IBJJF Worlds
Roberto Francisco Jimenez,Heavy,Adult,Purple,M,1st,Gi,Alliance,IBJJF Worlds
Mason Fowler,Ultra-Heavy,Adult,Purple,M,2nd,Gi,Dethrone Brazilian Jiu Jitsu,IBJJF Worlds
Pedro Alex dos Santos Pimenta,Ultra-Heavy,Adult,Purple,M,3rd,Gi,GF Team,IBJJF Worlds
Ronaldo Pereira de Souza Junior,Middle,Adult,Purple,M,3rd,Gi,Atos Jiu Jitsu,IBJJF Worlds
Kaynan Casemiro Duarte,Heavy,Adult,Brown,M,1st,Gi,Atos Jiu Jitsu,IBJJF Worlds
Victor Hugo Costa Marques,Ultra-Heavy,Adult,Brown,M,2nd,Gi,Ribeiro Jiu Jitsu,IBJJF Worlds
Marcus Vinicius Ribeiro de Siqueira,Super-Heavy,Adult,Brown,M,3rd,Gi,Alliance ,IBJJF Worlds
Mauricio de Oliveira Santos Neto,Medium-Heavy,Adult,Brown,M,3rd,Gi,GF Team,IBJJF Worlds
Leandro Lo Pereira do Nascimento,Super_Heavy,Adult,Black,M,1st,Gi,Ns Brotherhood,IBJJF Worlds
Marcus Vinicius Oliveira de Almeida,Ultra-Heavy,Adult,Black,M,2nd,Gi,Checkmat,IBJJF Worlds
Nicholas de Barcellos Meregali,Super-Heavy,Adult,Black,M,3rd,Gi,Alliance,IBJJF Worlds
Victor Hugo Honorio P. da Silva,Ultra-Heavy,Adult,Black,M,3rd,Gi,Qatar BJJ,IBJJF Worlds
Elisabeth Ann Clay,Medium-Heavy,Adult,Blue,F,1st,Gi,Ares BJJ,IBJJF Worlds
Deise dos Santos Leonanjo,Middle,Adult,Blue,F,2nd,Gi,Alliance,IBJJF Worlds
Brianna Ste-marie,Feather,Adult,Blue,F,3rd,Gi,Brazilian Top Team Int.,IBJJF Worlds
Madison Lucille Wolfe,Light-Feather,Adult,Blue,F,3rd,Gi,Soul Fighters BJJ,IBJJF Worlds
Gabrieli Pessanha de Souza Marinho,Super-Heavy,Adult,Purple,F,1st,Gi,Infight JJ,IBJJF Worlds
Janaina Maia de Menezes ,Middle,Adult,Purple,F,2nd,Gi,SAS Team,IBJJF Worlds
Barbara Andrea Quimpo Katter,Heavy,Adult,Purple,F,3rd,Gi,Evolve MMA,IBJJF Worlds
Gabrielle Stan,Medium-Heavy,Adult,Purple,F,3rd,Gi,Jiu-Jitsu For Life Team ,IBJJF Worlds
Gabriela Meireles Fechter,Feather,Adult,Brown,F,1st,Gi,Checkmat,IBJJF Worlds
Larissa Campos Carvalho,Light-Feather,Adult,Brown,F,2nd,Gi,Gracie Reunion,IBJJF Worlds
Ane N. Svendsen,Medium-Heavy,Adult,Brown,F,3rd,Gi,GF Team,IBJJF Worlds
Mayssa Caldas Pereira Bastos,Light-Feather,Adult,Brown,F,3rd,Gi,GF Team,IBJJF Worlds
Tayane Porfirio de Araujo,Super_Heavy,Adult,Black,F,1st,Gi,Alliance,IBJJF Worlds
Nathiely Karoline Melo de Jesus,Heavy,Adult,Black,F,2nd,Gi,Unity Jiu-Jitsu,IBJJF Worlds
Ana Carolina Vieira Srour,Middle,Adult,Black,F,3rd,Gi,GF Team,IBJJF Worlds
Bianca Barbosa Basilio,Feather,Adult,Black,F,3rd,Gi,Atos Jiu Jitsu,IBJJF Worlds
Charles David Saguil ,Ultra-Heavy,Master 1,Blue,M,1st,Gi,One Jiu-Jitsu USA ,IBJJF Worlds
Samuel Bremer ,Middle,Master 1,Blue,M,2nd,Gi,Renato Tavares Association ,IBJJF Worlds
Jose Eleuterio Neto ,Heavy,Master 1,Blue,M,3rd,Gi,CWB Prime BJJ ,IBJJF Worlds
Navarro Chamberlain ,Super-Heavy,Master 1,Blue,M,3rd,Gi,Crazy 88,IBJJF Worlds
Said Dunkaev ,Medium-Heavy,Master 1,Purple,M,1st,Gi,Checkmat,IBJJF Worlds
Quinton Marshall Pruett ,Medium-Heavy,Master 1,Purple,M,2nd,Gi,Maracaba BJJ,IBJJF Worlds
Vinicius Bara Leoni Lacerda ,Light,Master 1,Purple,M,3rd,Gi,Alliance International,IBJJF Worlds
Zoffoli Jean Baptiste,Heavy,Master 1,Purple,M,3rd,Gi,Gokudo,IBJJF Worlds
Frank Santos Dumont F. de Oliveira ,Super-Heavy,Master 1,Brown,M,1st,Gi,Qatar BJJ Brasil ,IBJJF Worlds
Allyson Angelo Cruz Batista ,Middle,Master 1,Brown,M,2nd,Gi,KMR BJJ KIMURA,IBJJF Worlds
salah salim ,Middle,Master 1,Brown,M,3rd,Gi,Relson Gracie,IBJJF Worlds
William James Vincent ,Super-Heavy,Master 1,Brown,M,3rd,Gi,Combat Base,IBJJF Worlds
Rafael Monteiro Barbosa ,Middle,Master 1,Black,M,1st,Gi,Soul Fighters BJJ,IBJJF Worlds
Vitor Moscon Schlosser ,Super-Heavy,Master 1,Black,M,2nd,Gi,Schlosser BJJ ,IBJJF Worlds
De'Alonzio Jerome Jackson ,Medium-Heavy,Master 1,Black,M,3rd,Gi,Team Lloyd Irvin ,IBJJF Worlds
Juarez Harles Martins Nunes ,Medium-Heavy,Master 1,Black,M,3rd,Gi,Gracie Humaita ,IBJJF Worlds
Desiree Favoreto ,Heavy,Master 1,Blue,F,1st,Gi,Zenith BJJ ,IBJJF Worlds
Danielle Baron ,Medium-Heavy,Master 1,Blue,F,2nd,Gi,Alliance International ,IBJJF Worlds
Jessica Hurtt ,Super-Heavy,Master 1,Blue,F,3rd,Gi,Roberto Traven BJJ ,IBJJF Worlds
Kristina Freeman ,Super-Heavy,Master 1,Blue,F,3rd,Gi,N.W. Jiu-Jitsu Academy - Maple Ridge ,IBJJF Worlds
Mayara Monteiro Custodio ,Super-Heavy,Master 1,Purple,F,1st,Gi,Checkmat,IBJJF Worlds
Barbara Andrea Quimpo Katter ,Heavy,Master 1,Purple,F,2nd,Gi,Evolve MMA,IBJJF Worlds
Amanda R. Clifton ,Middle,Master 1,Purple,F,3rd,Gi,Cavalo Team,IBJJF Worlds
Nadine Laarman ,Middle,Master 1,Purple,F,3rd,Gi,OG Jiu-Jitsu,IBJJF Worlds
Nicole Sullivan ,Light,Master 1,Brown,F,1st,Gi,Atos Jiu Jitsu,IBJJF Worlds
Sarah L Draht ,Medium-Heavy,Master 1,Brown,F,2nd,Gi,Pacific Top Team,IBJJF Worlds
Emily Sheil ,Middle,Master 1,Brown,F,3rd,Gi,Pacific Top Team,IBJJF Worlds
Shantelle Thompson ,Super-Heavy,Master 1,Brown,F,3rd,Gi,Maromba Academia International ,IBJJF Worlds
Claudia Fernanda Onofre Valim Doval ,Medium-Heavy,Master 1,Black,F,1st,Gi,De La Riva JJ ,IBJJF Worlds
Fabiana Alves Borges ,Light,Master 1,Black,F,2nd,Gi,Gracie Barra,IBJJF Worlds
Miriam Cardoso Cerqueira ,Light-Feather,Master 1,Black,F,3rd,Gi,Elite Brazilian Jiu Jitsu Redmond ,IBJJF Worlds
Shanti A. D. Abelha ,Middle,Master 1,Black,F,3rd,Gi,Checkmat,IBJJF Worlds
Matthew Troy Pehrson ,Ultra-Heavy,Master 2,Blue,M,1st,Gi,Gracie Humaita ,IBJJF Worlds
Manuel Meraz,Medium-Heavy,Master 2,Blue,M,2nd,Gi,A-Force Brazilian Jiu-Jitsu ,IBJJF Worlds
Ferhayn Gambrah ,Light,Master 2,Blue,M,3rd,Gi,Alliance USA,IBJJF Worlds
Roberto Sheets ,Light,Master 2,Blue,M,3rd,Gi,One Jiu-Jitsu USA ,IBJJF Worlds
Edward Willis ,Medium-Heavy,Master 2,Purple,M,1st,Gi,Hoboken Jiu-Jitsu,IBJJF Worlds
Mauro Matai,Super-Heavy,Master 2,Purple,M,2nd,Gi,LEAD BJJ,IBJJF Worlds
Alex Buan Pong Chua,Middle,Master 2,Purple,M,3rd,Gi,Evolve MMA,IBJJF Worlds
