Name	Weight Division	Age Division	Belt Level	Gender	Placement	Gi or No Gi	School	Tournament
Cole Morrison	Feather	Adult	White	M	1st	No Gi	Ken Rose Warriors	SJJIF Worlds
Cody Davis	Super Feather	Adult	White	M	2nd	No Gi	Cmma B	SJJIF Worlds
Caleb Crump	Middle	Adult	Blue	M	1st	No Gi	Victory Mma	SJJIF Worlds
te hakaraia o te rangi wilson	Medium Heavy	Adult	Blue	M	2nd	No Gi	New Zealand Top Team	SJJIF Worlds
David Acuna	Feather	Adult	Blue	M	3rd	No Gi	Cmma	SJJIF Worlds
Igor Guimaraes	Super Heavy	Adult	Purple	M	1st	No Gi	99 Jiu-Jitsu	SJJIF Worlds
Thomas Kocer	Medium Heavy	Adult	Purple	M	2nd	No Gi	gooch training academy / checkmat woodland hills	SJJIF Worlds
Lie Manaatua	Ultra Heavy	Adult	Purple	M	3rd	No Gi	tahitian top team	SJJIF Worlds
Kaynan Duarte	Super Heavy	Adult	Black	M	1st	No Gi	Atos Jiu-Jitsu	SJJIF Worlds
Manuel Filho	Medium Heavy	Adult	Black	M	2nd	No Gi	unity jiu-jitsu	SJJIF Worlds
Gustavo Batista	Heavy	Adult	Black	M	3rd	No Gi	Atos Jiu-Jitsu	SJJIF Worlds
